Central Government,Department of Commerce (DoC),Statutory/Autonomous Bodies,AGRICULTURAL AND PROCESSED FOOD PRODUCTS EXPORT DEVELOPMENT AUTHORITY
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Statutory/Autonomous Bodies,AGRICULTURAL SCIENTISTS RECRUITMENT BOARD (ASRB)
Central Government,Ministry of Civil Aviation (MoCA),Attached/Subordinated Offices,AIRCRAFT ACCIDENT INVESTIGATION BUREAU
Central Government,Ministry of Civil Aviation (MoCA),Statutory/Autonomous Bodies,AIRPORTS ECONOMIC REGULATORY AUTHORITY OF INDIA
Central Government,Department of Social Justice and Empowerment (DoSJE),Statutory/Autonomous Bodies,ALI YAVAR JUNG NATIONAL INSTITUTE OF SPEECH AND HEARING DISABILITIES
Central Government,Department of Posts (DoP),Other Offices,ANDHRA PRADESH CIRCLE
Central Government,Ministry of Culture (MoC),Attached/Subordinated Offices,ANTHROPOLOGICAL SURVEY OF INIDA
Central Government,Ministry of Home Affairs (MHA) - [Representing 5 departments],Attached/Subordinated Offices,ASSAM RIFLES
Central Government,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Attached/Subordinated Offices,BOTANICAL SURVEY OF INDIA (BSI)
Central Government,Ministry of Civil Aviation (MoCA),Attached/Subordinated Offices,BUREAU OF CIVIL AVIATION SECURITY
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Statutory/Autonomous Bodies,CCS NATIONAL INSTITUTE OF AGRICULTURAL MARKETING JAIPUR
Central Government,Ministry of Women and Child Development (MoWCD),Statutory/Autonomous Bodies,CENTRAL ADOPTION RESOURCE AUTHORITY (CARA)
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Statutory/Autonomous Bodies,CENTRAL FARM MACHINERY TRAINING & TESTING INSTITUTE
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Attached/Subordinated Offices,CENTRAL FERTILIZER QUALITY CONTROL AND TRAINING INSTITUTE FARIDABAD
Central Government,Department of Health and Family Welfare (DoHFW)- MoHFW,Other Offices,CENTRAL GOVERNMENT HEALTH SCHEME
Central Government,Ministry of Home Affairs (MHA) - [Representing 5 departments],Attached/Subordinated Offices,CENTRAL INDUSTRIAL SECURITY FORCE
